run order,250pgWet,SC,DM
1,#N/A,3939,#N/A
2,#N/A,4479,#N/A
3,#N/A,4298,#N/A
4,#N/A,4291,#N/A
5,#N/A,3272,#N/A
6,#N/A,4328,#N/A
7,#N/A,5167,#N/A
8,#N/A,4122,#N/A
9,#N/A,4538,#N/A
10,#N/A,4430,#N/A
11,#N/A,4215,#N/A
12,#N/A,4746,#N/A
13,#N/A,2708,#N/A
14,#N/A,4241,#N/A
15,#N/A,4564,#N/A
16,#N/A,3789,#N/A
17,#N/A,4084,#N/A
18,#N/A,3685,#N/A
19,5127,#N/A,#N/A
20,5201,#N/A,#N/A
21,#N/A,#N/A,386
22,#N/A,#N/A,229
23,#N/A,4657,#N/A
24,#N/A,4021,#N/A
25,#N/A,4486,#N/A
26,#N/A,4304,#N/A
27,#N/A,4415,#N/A
28,#N/A,2988,#N/A
29,#N/A,1113,#N/A
30,#N/A,4757,#N/A
31,#N/A,4036,#N/A
32,#N/A,3817,#N/A
33,#N/A,3983,#N/A
34,#N/A,3922,#N/A
35,#N/A,4061,#N/A
36,#N/A,481,#N/A
37,#N/A,4469,#N/A
38,#N/A,4436,#N/A
39,#N/A,3960,#N/A
40,#N/A,4225,#N/A
41,5180,#N/A,#N/A
42,5085,#N/A,#N/A
43,#N/A,#N/A,607
44,#N/A,#N/A,374
45,#N/A,4594,#N/A
46,#N/A,4006,#N/A
47,#N/A,4285,#N/A
48,#N/A,4183,#N/A
49,#N/A,4739,#N/A
50,#N/A,4434,#N/A
51,#N/A,4520,#N/A
52,#N/A,4088,#N/A
53,#N/A,4625,#N/A
54,#N/A,4442,#N/A
55,#N/A,3821,#N/A
56,#N/A,4673,#N/A
57,#N/A,4572,#N/A
58,#N/A,4445,#N/A
59,#N/A,429,#N/A
60,#N/A,3931,#N/A
61,#N/A,4696,#N/A
62,#N/A,4902,#N/A
63,5236,#N/A,#N/A
64,5226,#N/A,#N/A
65,#N/A,#N/A,465
66,#N/A,#N/A,274
67,#N/A,4453,#N/A
68,#N/A,4001,#N/A
69,#N/A,3583,#N/A
70,#N/A,4518,#N/A
71,#N/A,3875,#N/A
72,#N/A,4291,#N/A
73,#N/A,4422,#N/A
74,#N/A,2790,#N/A
75,#N/A,542,#N/A
76,#N/A,4501,#N/A
77,#N/A,4361,#N/A
78,#N/A,4005,#N/A
79,#N/A,420,#N/A
80,#N/A,4622,#N/A
81,#N/A,4133,#N/A
82,#N/A,4052,#N/A
83,#N/A,4606,#N/A
84,#N/A,4127,#N/A
85,5046,#N/A,#N/A
86,5210,#N/A,#N/A
87,#N/A,#N/A,581
88,#N/A,#N/A,347
89,#N/A,3958,#N/A
90,#N/A,4089,#N/A
91,#N/A,1912,#N/A
92,#N/A,4291,#N/A
93,#N/A,3859,#N/A
94,#N/A,4572,#N/A
95,#N/A,3978,#N/A
96,#N/A,4736,#N/A
97,#N/A,4386,#N/A
98,#N/A,4104,#N/A
99,#N/A,4213,#N/A
100,#N/A,4569,#N/A
101,#N/A,4364,#N/A
102,#N/A,5006,#N/A
103,#N/A,4060,#N/A
104,#N/A,4394,#N/A
105,#N/A,4149,#N/A
106,#N/A,607,#N/A
107,5119,#N/A,#N/A
108,4867,#N/A,#N/A
109,#N/A,#N/A,436
110,#N/A,#N/A,342
111,#N/A,4477,#N/A
112,#N/A,4376,#N/A
113,#N/A,4692,#N/A
114,#N/A,4111,#N/A
115,#N/A,4530,#N/A
116,#N/A,4503,#N/A
117,#N/A,4322,#N/A
118,#N/A,4684,#N/A
119,#N/A,3788,#N/A
120,#N/A,4449,#N/A
121,#N/A,3601,#N/A
122,#N/A,4263,#N/A
123,#N/A,4374,#N/A
124,#N/A,3257,#N/A
125,#N/A,3956,#N/A
126,#N/A,4558,#N/A
127,#N/A,4094,#N/A
128,#N/A,835,#N/A
129,5031,#N/A,#N/A
130,5098,#N/A,#N/A
131,#N/A,#N/A,485
132,#N/A,#N/A,448
133,#N/A,4149,#N/A
134,#N/A,3885,#N/A
135,#N/A,4303,#N/A
136,#N/A,1683,#N/A
137,#N/A,4209,#N/A
138,#N/A,4876,#N/A
139,#N/A,681,#N/A
140,#N/A,3050,#N/A
141,#N/A,4423,#N/A
142,#N/A,4833,#N/A
143,#N/A,4643,#N/A
144,#N/A,4104,#N/A
145,#N/A,4437,#N/A
146,#N/A,467,#N/A
147,#N/A,4355,#N/A
148,#N/A,4558,#N/A
149,#N/A,4488,#N/A
150,#N/A,4413,#N/A
151,5031,#N/A,#N/A
152,5012,#N/A,#N/A
153,#N/A,#N/A,575
154,#N/A,#N/A,222
155,#N/A,3797,#N/A
156,#N/A,4028,#N/A
157,#N/A,4063,#N/A
158,#N/A,3944,#N/A
159,#N/A,4375,#N/A
