ProteinSequence,Protein.Group,Protein.Names,First.Protein.Description,Organism,4pairs-pool|HYEA|avg_intensity,4pairs-pool|HYEB|avg_intensity,nombr-pool|HYEA|avg_intensity,nombr-pool|HYEB|avg_intensity,4pairs-pool|HYEA|cv_percent,4pairs-pool|HYEB|cv_percent,nombr-pool|HYEA|cv_percent,nombr-pool|HYEB|cv_percent,,,
1798,P0CE47;P0CE48,EFTU1_ECOLI;EFTU2_ECOLI,Elongation factor Tu 1,ECOLI,5898995.636,23230472.08,6183075.98,24381001.3,10.10286892,7.862044166,39.68371394,13.97090133,,,
1698,P0AF52;Q46817,GHXP_ECOLI;GHXQ_ECOLI,Guanine/hypoxanthine permease GhxP,ECOLI,,,,17915.76248,,,,32.03241872,,,
1826,P0DP89;P0DP90,ILVGP_ECOLI;ILVG_ECOLI,Putative acetolactate synthase isozyme 2 large subunit,ECOLI,71077.15669,,76651.73832,,7.530489508,,20.52608554,,,,
4701,P60709;P63261,ACTB_HUMAN;ACTG_HUMAN,"Actin, cytoplasmic 1",HUMAN,44076664.18,50723823.91,47855476.72,50029031.87,9.34054532,28.20129682,15.88064721,15.88898692,,,
6785,Q7KYR7;Q8WVV5,BT2A1_HUMAN;BT2A2_HUMAN,Butyrophilin subfamily 2 member A1,HUMAN,,,,,,,,,,,
5068,P86790;P86791,CCZ1B_HUMAN;CCZ1_HUMAN,Vacuolar fusion protein CCZ1 homolog B,HUMAN,40182.77731,56700.02983,,52852.49807,28.32544597,30.58376629,,32.9700574,,,
6490,Q5T1J5;Q9Y6H1,CHCH2_HUMAN;CHCH9_HUMAN,"Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial",HUMAN,,,,,,,,,,,
1777,P0C0L4;P0C0L5,CO4A_HUMAN;CO4B_HUMAN,Complement C4-A,HUMAN,349382.1721,371005.3723,389240.2696,382082.482,16.43992642,7.311008968,16.76510317,16.21563117,,,
1852,P10589;P24468,COT1_HUMAN;COT2_HUMAN,COUP transcription factor 1,HUMAN,,,,,,,,,,,
6634,Q6NSW5;Q8TCE6,DE10B_HUMAN;DEN10_HUMAN,Putative DENN domain-containing protein 10 B,HUMAN,,,,,,,,,,,
32,A6NHG4;P30046,DDTL_HUMAN;DOPD_HUMAN,D-dopachrome decarboxylase-like protein,HUMAN,241978.3624,295150.8374,166604.2401,211295.5338,22.70402805,5.4915129,30.9343321,21.11015036,,,
