Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,150H100Y_1,150H100Y_2,150H100Y_3,200H50Y_1,200H50Y_2,200H50Y_3,240H10Y_1,240H10Y_2,240H10Y_3
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,1,0,428100,539676,536287,464863,584365,643705,525904,573547,551597
A0A024RBG1,NUD4B_HUMAN,NUDT4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,1,0,12919.5,11334,13280.5,13960.3,19369.5,15192.1,13558.9,12829.3,11348.7
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,Protein PIGBOS1,1,1,132284,131967,150959,148786,169279,176375,169563,191365,149978
A0A0U1RRE5,NBDY_HUMAN,NBDY,Negative regulator of P-body association,1,1,12631.4,15790.5,19270.5,11265.3,16647.7,19848,20413.3,12362.2,20085.4
A0A1W2PP81;A0A1W2PPE2;A0A1W2PPH5;A0A1W2PR64;A0A1W2PRV1;P0DW11;P0DW12;P0DW13;P0DW14,TFKL3_HUMAN;TFKL4_HUMAN;TFKL5_HUMAN;TFKL6_HUMAN;TFKL7_HUMAN;TFKL8_HUMAN;TFKL9_HUMAN;TFKLJ_HUMAN;TFLM_HUMAN,TAF11L10;TAF11L13;TAF11L3;TAF11L4;TAF11L5;TAF11L6;TAF11L7;TAF11L8;TAF11L9,TATA-box-binding protein-associated factor 11-like protein 5,1,0,,,,17867.4,,,,,
A0A3B3IU46;Q9BTL3,RAMAC_HUMAN;RMACL_HUMAN,RAMAC;RAMACL,RNA guanine-N7 methyltransferase-activating subunit-like protein,1,0,21589.2,30832.5,37871.4,29436.3,32721.7,32793.6,31070.3,29697.5,39768.1
A0A8I5KQE6;P08865,RPSA2_HUMAN;RSSA_HUMAN,RPSA;RPSA2,Small ribosomal subunit protein uS2B,9,0,2.33E+06,2.01E+06,1.95E+06,2.13E+06,2.77E+06,2.52E+06,2.07E+06,2.17E+06,1.99E+06
A0AV96,RBM47_HUMAN,RBM47,RNA-binding protein 47,7,7,40752.2,31926,29089.4,31760.5,54993.1,45421.4,36966.9,33799.5,30889
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,23,23,109026,91017.1,89961,97355,127782,116570,116293,111065,108801
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,7,7,71772.8,79308.1,80580.4,75364.4,100361,98322.9,74822.7,94210,91957.5
A0JNW5,BLT3B_HUMAN,BLTP3B,Bridge-like lipid transfer protein family member 3B,4,4,5392.58,6366.19,6051.78,4656.39,5164.91,3825.07,7238.42,3069.27,5529.83
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,14,14,108267,112697,110742,107552,149441,144463,112967,119394,123571
A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,1,1,8274.51,7722.68,6045.9,12917.9,16881.5,13871.7,8229.84,,11809.3
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,6,6,145498,121455,117666,125350,169844,141430,130928,142568,122952
A1L170,CA226_HUMAN,C1orf226,Uncharacterized protein C1orf226,1,1,,2917.38,3504.66,,2129.03,,1663.84,,2283.63
A1L390,PKHG3_HUMAN,PLEKHG3,Pleckstrin homology domain-containing family G member 3,3,3,2371.68,,4014.69,2321.16,3293.6,4699.76,3438.15,2709.62,2949.11
A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,3,3,7485.54,5157.32,9660.92,9628.43,10737.1,9866.01,9054.99,10703.1,10241
A2AJT9,BCLA3_HUMAN,BCLAF3,BCLAF1 and THRAP3 family member 3,1,1,2308.08,5034.54,,3933.18,6973.71,4749.84,2505.38,1929.65,3187.8
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,16,16,20677.6,18833.2,18209.2,18636,25947.1,22130.2,19507.9,21632.4,21547.5
A2RU67,F234B_HUMAN,FAM234B,Protein FAM234B,1,1,4236.66,3279.43,5425.15,3712.68,5018.09,5107.09,4701.34,5137.9,
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,20,20,112379,113538,103595,118079,163275,146291,119689,103045,106235
A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,5,3,11794.9,12604.6,14350.9,11952.7,19673,17262.2,16921.1,16232.3,14524.3
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,7,7,33477.6,27368.1,30235.4,29749.7,44655.2,38844.5,30281.3,36113.1,33042.7
A4D1P6,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,3,3,,,5303.49,,6265.15,5896.58,3826.15,4431.24,5292.52
A5D8V6,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,2,2,,,6597.91,,7950.97,10607.8,5583.64,6437.79,7001.92
A5PLN9,TPC13_HUMAN,TRAPPC13,Trafficking protein particle complex subunit 13,2,2,6946.67,,11838.8,10889.1,13739.4,7359.89,10947.9,16981,16648
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,27,27,107658,103041,100004,98001.3,143953,133356,107336,119123,105489
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,1,0,93584.5,49487.7,45930.3,39163.8,75707.3,74111.9,69184.4,51375,44719.9
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,7,7,94697.9,110188,83009,93604.8,142895,116424,99201.9,105742,107061
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,4,4,49867.5,53884.9,56044.6,54155.3,61184.2,65033.6,54257.9,46515.1,53714.9
A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,2,2,19593.7,34475.8,26474.4,20849.6,30176,36440.7,40669.1,33879,28602.7
A6NER3;A1L429;A6NDE8;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326,GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE4_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN,GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7,G antigen 12B/C/D/E,1,0,5875.65,,4514.4,5850.59,9469.75,6522.5,5764.81,7306.11,4210.5
A6NFI3,ZN316_HUMAN,ZNF316,Zinc finger protein 316,3,3,,5801.69,,6569.54,6263.17,10108.5,7140.03,6865.26,10441.3
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,24,24,75828.2,74060.9,68393.6,74304,96647.7,90935.7,63211.7,79521.3,70025.9
A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,3,3,25650.2,26973.7,33851.3,23620.3,29939.6,27944.4,26624.9,25745,27712.1
A6NKF1,SAC31_HUMAN,SAC3D1,SAC3 domain-containing protein 1,3,3,31319.6,39631.7,29258.2,25121.3,38038.4,40988.8,27364.2,24834.7,21207.4
A6ZKI3;Q9BWD3,RTL8A_HUMAN;RTL8C_HUMAN,RTL8A;RTL8C,Retrotransposon Gag-like protein 8C,1,0,6217.93,8602.71,4784.04,6930.98,8308.05,11266,4859.21,6022.6,7526.06
A7E2V4,ZSWM8_HUMAN,ZSWIM8,Zinc finger SWIM domain-containing protein 8,2,2,,,,964.128,,1842.35,,1763.19,
