sample,proteinID,conc.,Experiment,plate,ch,Gate,Type,time
100_1,3524,100,time,timeP2,ch2,S,SC,24hr
100_2,3039,100,time,timeP2,ch1,S,SC,24hr
100_3,1950,100,time,timeP2,ch1,S,SC,24hr
100_4,3624,100,time,timeP2,ch2,S,SC,24hr
100_5,3130,100,time,timeP2,ch1,S,SC,24hr
100_6,3801,100,time,timeP2,ch2,S,SC,24hr
100_7,3670,100,time,timeP2,ch1,S,SC,24hr
100_8,3165,100,time,timeP2,ch1,S,SC,24hr
100_9,3465,100,time,timeP2,ch2,S,SC,24hr
100_10,3472,100,time,timeP2,ch2,S,SC,24hr
100_11,3201,100,time,timeP2,ch2,S,SC,24hr
100_12,2451,100,time,timeP2,ch1,S,SC,24hr
100_13,3375,100,time,timeP2,ch2,S,SC,24hr
100_14,3137,100,time,timeP2,ch1,S,SC,24hr
100_15,2939,100,time,timeP2,ch1,S,SC,24hr
100_16,4037,100,time,timeP2,ch2,S,SC,24hr
100_17,3701,100,time,timeP2,ch2,S,SC,24hr
100_18,3739,100,time,timeP2,ch1,S,SC,24hr
100_19,3845,100,time,timeP2,ch1,S,SC,24hr
100_20,2240,100,time,timeP2,ch2,S,SC,24hr
100_21,3526,100,time,timeP2,ch1,S,SC,24hr
100_22,3369,100,time,timeP2,ch2,S,SC,24hr
100_23,2589,100,time,timeP2,ch2,S,SC,24hr
100_24,3472,100,time,timeP2,ch2,S,SC,24hr
100_25,2104,100,time,timeP2,ch1,S,SC,24hr
100_26,4038,100,time,timeP2,ch2,S,SC,24hr
100_27,3374,100,time,timeP2,ch2,S,SC,24hr
100_28,3433,100,time,timeP2,ch1,S,SC,24hr
100_29,3642,100,time,timeP2,ch2,S,SC,24hr
100_30,2424,100,time,timeP2,ch2,S,SC,24hr
100_31,1751,100,time,timeP2,ch1,S,SC,24hr
100_32,3302,100,time,timeP2,ch1,S,SC,24hr
100_33,3199,100,time,timeP2,ch1,S,SC,24hr
100_34,2524,100,time,timeP2,ch2,S,SC,24hr
100_35,3027,100,time,timeP2,ch1,S,SC,24hr
100_36,3077,100,time,timeP2,ch2,S,SC,24hr
100_37,3147,100,time,timeP2,ch1,S,SC,24hr
100_38,2856,100,time,timeP2,ch2,S,SC,24hr
100_39,3877,100,time,timeP2,ch1,S,SC,24hr
100_40,3469,100,time,timeP2,ch1,S,SC,24hr
100_41,3074,100,time,timeP2,ch2,S,SC,24hr
100_42,3563,100,time,timeP2,ch2,S,SC,24hr
100_43,3195,100,time,timeP2,ch2,S,SC,24hr
100_44,2750,100,time,timeP2,ch1,S,SC,24hr
100_45,2856,100,time,timeP2,ch1,S,SC,24hr
100_46,2799,100,time,timeP2,ch2,S,SC,24hr
100_47,3405,100,time,timeP2,ch2,S,SC,24hr
100_48,3084,100,time,timeP2,ch1,S,SC,24hr
100_49,3106,100,time,timeP2,ch1,S,SC,24hr
100_50,3369,100,time,timeP2,ch2,S,SC,24hr
100_51,1654,100,time,timeP2,ch2,S,SC,24hr
100_52,2167,100,time,timeP2,ch1,S,SC,24hr
100_53,3189,100,time,timeP2,ch1,S,SC,24hr
100_54,2780,100,time,timeP2,ch2,S,SC,24hr
100_55,3289,100,time,timeP2,ch2,S,SC,24hr
100_56,1744,100,time,timeP2,ch1,S,SC,24hr
100_57,2081,100,time,timeP2,ch2,S,SC,24hr
100_58,3267,100,time,timeP2,ch1,S,SC,24hr
100_59,3162,100,time,timeP2,ch1,S,SC,24hr
100_61,2009,100,time,timeP2,ch2,S,SC,24hr
100_62,3274,100,time,timeP2,ch2,S,SC,24hr
100_63,2795,100,time,timeP2,ch1,S,SC,24hr
100_64,3501,100,time,timeP2,ch2,S,SC,24hr
100_65,4014,100,time,timeP2,ch1,S,SC,24hr
100_66,3261,100,time,timeP2,ch2,S,SC,24hr
100_67,3529,100,time,timeP2,ch2,S,SC,24hr
100_68,3004,100,time,timeP2,ch1,S,SC,24hr
PBS_69,3106,PBS,time,timeP2,ch1,S,SC,24hr
PBS_70,3534,PBS,time,timeP2,ch2,S,SC,24hr
PBS_71,3407,PBS,time,timeP2,ch1,S,SC,24hr
PBS_72,3106,PBS,time,timeP2,ch2,S,SC,24hr
PBS_73,2943,PBS,time,timeP2,ch2,S,SC,24hr
PBS_74,3249,PBS,time,timeP2,ch2,S,SC,24hr
PBS_75,3527,PBS,time,timeP2,ch1,S,SC,24hr
PBS_76,3101,PBS,time,timeP2,ch1,S,SC,24hr
PBS_77,3236,PBS,time,timeP2,ch1,S,SC,24hr
PBS_78,4357,PBS,time,timeP2,ch2,S,SC,24hr
PBS_79,3012,PBS,time,timeP2,ch2,S,SC,24hr
PBS_80,3437,PBS,time,timeP2,ch2,S,SC,24hr
PBS_81,3443,PBS,time,timeP2,ch1,S,SC,24hr
PBS_82,3003,PBS,time,timeP2,ch1,S,SC,24hr
PBS_83,4373,PBS,time,timeP2,ch2,S,SC,24hr
PBS_84,2742,PBS,time,timeP2,ch1,S,SC,24hr
PBS_85,3739,PBS,time,timeP2,ch2,S,SC,24hr
PBS_86,3220,PBS,time,timeP2,ch1,S,SC,24hr
PBS_87,3501,PBS,time,timeP2,ch1,S,SC,24hr
PBS_88,2932,PBS,time,timeP2,ch1,S,SC,24hr
PBS_89,3934,PBS,time,timeP2,ch2,S,SC,24hr
PBS_90,3585,PBS,time,timeP2,ch2,S,SC,24hr
PBS_91,3114,PBS,time,timeP2,ch1,S,SC,24hr
PBS_92,3360,PBS,time,timeP2,ch2,S,SC,24hr
PBS_93,3316,PBS,time,timeP2,ch1,S,SC,24hr
