sample,series,condition,file,protein_set,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC1_pct,PC2_pct,PC3_pct,PC4_pct,PC5_pct,PC6_pct,PC7_pct,PC8_pct,PC9_pct,PC10_pct,PC11_pct,PC12_pct,PC13_pct,PC14_pct,PC15_pct,PC16_pct,PC17_pct,PC18_pct,PC19_pct,PC20_pct,PC21_pct,PC22_pct,PC23_pct,PC24_pct,PC25_pct,PC26_pct,PC27_pct,PC28_pct,PC29_pct,PC30_pct,UMAP1,UMAP2
100_1,Conc,100,LL2112_NC_conc.csv,post_iqr,-22.59577424,-10.63420025,28.48705825,-3.202364892,9.841850584,3.727372877,4.404839292,9.91538101,9.127498334,-3.255757794,1.691373714,6.828410867,-1.464409757,-7.667444553,-3.324639413,6.902849159,0.715549131,4.800871234,-2.459594854,1.626351534,-1.154765091,-0.721069001,-0.235726905,-0.439889185,1.555063458,-2.702957921,5.560188665,0.542576753,-0.048155655,0.1500114,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,10.225801,4.3572164
100_2,Conc,100,LL2112_NC_conc.csv,post_iqr,28.14920164,-4.739957624,0.143761385,-8.939627683,1.932561227,6.470146046,-1.374757305,-1.162398096,4.904254273,0.861346571,0.479635164,-0.353081754,-2.780400702,1.248780198,1.374272937,-2.17123037,-2.027291749,0.851049549,-0.436873865,2.133558923,1.352132486,-2.613403074,3.73613876,-0.371017171,0.39248442,0.470222853,-1.582493724,0.82971405,0.322919603,-0.071877159,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,2.9099038,0.69380003
100_3,Conc,100,LL2112_NC_conc.csv,post_iqr,-62.17170016,-5.028159036,7.007490451,0.8066461,8.742131844,0.614236178,-4.247018485,0.344841933,5.586842058,1.43875058,2.094514518,-3.970745561,3.081098753,-6.327405034,-2.334327078,2.269851588,2.675537831,-4.713783787,-3.220597497,2.601509023,-0.790058019,-1.123454438,-0.943708161,-4.930219684,2.27900662,-4.383203277,-0.5102499,-4.620771427,5.675346349,4.967477443,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,10.926737,5.468001
100_4,Conc,100,LL2112_NC_conc.csv,post_iqr,30.44637106,8.983783592,5.28940672,5.827140361,4.671066335,6.697315957,-2.570153801,0.794467408,5.464286688,2.286634251,-0.061655897,-2.770441062,-2.244779185,2.690350133,-4.259100199,0.649571207,-0.366256551,-1.078566792,-0.754713959,-1.264820433,0.294404557,2.331709643,-1.00002374,-1.688214769,2.340030571,0.002002043,-1.165633255,0.015833373,-1.552227632,-0.575858539,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,2.8248143,-1.3430295
100_5,Conc,100,LL2112_NC_conc.csv,post_iqr,27.76582882,1.070978943,1.542404266,-1.574304818,5.531997678,2.083351446,-2.945644741,-0.755713034,4.30417887,4.270814731,-0.709881105,-4.060604278,-5.514638575,4.562734996,-4.686025998,2.178950092,-0.916322421,-2.320927446,-0.534892543,-1.453886324,1.33257267,-1.13152869,-0.118017807,0.618663566,-1.144558171,-0.253535927,4.707313955,1.778452858,0.436637509,1.173525346,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,3.4566674,-0.49826682
100_6,Conc,100,LL2112_NC_conc.csv,post_iqr,30.18601695,6.275671307,10.26304688,6.359411721,3.264246345,6.651951797,-3.947440337,-1.032609356,4.781350865,2.214340395,0.150477232,-3.089245698,-3.093167884,0.028599029,0.087670644,1.351433845,-1.12570397,0.6142957,0.715262174,0.659267721,0.57480533,-0.920551601,0.043818697,-2.130805701,0.486043058,0.069919997,0.38796069,-0.288033317,-0.467141195,1.956151139,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,2.9207716,-1.4723234
100_7,Conc,100,LL2112_NC_conc.csv,post_iqr,32.4578006,-2.717313067,4.382528374,-8.6472279,3.017668764,5.821376055,-2.520216135,-2.520210644,1.866231522,-0.841985653,2.712072742,-5.020613159,-1.005455232,3.162605847,-2.145973689,-1.712811042,-3.117733087,3.077407907,-1.760887617,1.14899646,0.407497795,-1.133258188,-1.424081935,-0.941986753,1.726272454,0.94559688,-0.848118804,-3.14573119,1.524858313,-1.160790636,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,2.9571893,0.56219894
100_8,Conc,100,LL2112_NC_conc.csv,post_iqr,23.4967822,1.548307323,3.116920309,3.88122833,6.218431558,4.116196659,-3.24297731,-1.308773209,4.669419943,1.520838906,2.097741371,-2.145077602,-3.674880839,2.734165697,-3.297576959,-1.130345311,-0.52267074,-4.41320368,-0.596509977,-0.951708729,0.358878031,-0.361262021,2.139183842,-2.310972641,1.576121853,1.266939432,2.029813186,-0.724907486,0.490542972,3.112412971,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,3.4188492,-1.0710956
100_9,Conc,100,LL2112_NC_conc.csv,post_iqr,26.8262026,9.019051689,6.668458742,9.313583569,5.932775865,2.547011725,-4.886979247,-0.041725795,-0.451154849,-4.760425606,3.740660877,0.057653672,-0.635679349,-0.934267059,-2.017239894,-0.967041175,-1.284343096,1.190361021,1.926295256,3.381324011,0.361653012,-2.208015332,2.848897099,-1.156436095,0.254516593,0.483371991,-0.805160337,-0.21460334,-0.181704842,0.347052121,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,2.5198865,-2.010294
100_10,Conc,100,LL2112_NC_conc.csv,post_iqr,29.2562916,0.65743791,4.711867103,-6.562548767,3.576221696,8.019662963,-4.409369772,-0.668306607,3.171078477,-2.295414217,2.304230047,-2.019323696,-2.071874368,-0.228292784,-0.003441436,-3.122388467,-3.255158271,1.80802263,1.052201956,1.968047831,-1.051505341,-0.155495117,3.846294853,-1.891511117,1.713144749,0.066479947,-1.584011641,-2.102232286,1.839773201,2.856137668,40.70366019,3.58978344,2.257757855,1.125741172,0.835700009,0.76100776,0.709609225,0.626002438,0.485491093,0.448306336,0.429627251,0.376956372,0.352638746,0.328856298,0.303935837,0.287692628,0.271312169,0.256099329,0.25176806,0.247248419,0.234859455,0.230680733,0.224785178,0.216647211,0.211827449,0.206455681,0.202719529,0.201109102,0.198895142,0.195418594,2.8239443,0.44417873
