Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_1,HYEA_2,HYEA_3
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,1,0,428100,539676,536287
A0A024RBG1,NUD4B_HUMAN,NUDT4B,Diphosphoinositol polyphosphate phosphohydrolase NUDT4B,1,0,12919.5,11334,13280.5
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,Protein PIGBOS1,1,1,132284,131967,150959
A0A0U1RRE5,NBDY_HUMAN,NBDY,Negative regulator of P-body association,1,1,12631.4,15790.5,19270.5
A0A1W2PP81;A0A1W2PPE2;A0A1W2PPH5;A0A1W2PR64;A0A1W2PRV1;P0DW11;P0DW12;P0DW13;P0DW14,TFKL3_HUMAN;TFKL4_HUMAN;TFKL5_HUMAN;TFKL6_HUMAN;TFKL7_HUMAN;TFKL8_HUMAN;TFKL9_HUMAN;TFKLJ_HUMAN;TFLM_HUMAN,TAF11L10;TAF11L13;TAF11L3;TAF11L4;TAF11L5;TAF11L6;TAF11L7;TAF11L8;TAF11L9,TATA-box-binding protein-associated factor 11-like protein 5,1,0,,,
A0A3B3IU46;Q9BTL3,RAMAC_HUMAN;RMACL_HUMAN,RAMAC;RAMACL,RNA guanine-N7 methyltransferase-activating subunit-like protein,1,0,21589.2,30832.5,37871.4
A0A8I5KQE6;P08865,RPSA2_HUMAN;RSSA_HUMAN,RPSA;RPSA2,Small ribosomal subunit protein uS2B,9,0,2.33E+06,2.01E+06,1.95E+06
A0AV96,RBM47_HUMAN,RBM47,RNA-binding protein 47,7,7,40752.2,31926,29089.4
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,23,23,109026,91017.1,89961
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,7,7,71772.8,79308.1,80580.4
A0JNW5,BLT3B_HUMAN,BLTP3B,Bridge-like lipid transfer protein family member 3B,4,4,5392.58,6366.19,6051.78
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,14,14,108267,112697,110742
A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,1,1,8274.51,7722.68,6045.9
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,6,6,145498,121455,117666
A1L170,CA226_HUMAN,C1orf226,Uncharacterized protein C1orf226,1,1,,2917.38,3504.66
A1L390,PKHG3_HUMAN,PLEKHG3,Pleckstrin homology domain-containing family G member 3,3,3,2371.68,,4014.69
A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,3,3,7485.54,5157.32,9660.92
A2AJT9,BCLA3_HUMAN,BCLAF3,BCLAF1 and THRAP3 family member 3,1,1,2308.08,5034.54,
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,16,16,20677.6,18833.2,18209.2
A2RU67,F234B_HUMAN,FAM234B,Protein FAM234B,1,1,4236.66,3279.43,5425.15
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,20,20,112379,113538,103595
A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,5,3,11794.9,12604.6,14350.9
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,7,7,33477.6,27368.1,30235.4
A4D1P6,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,3,3,,,5303.49
A5D8V6,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,2,2,,,6597.91
A5PLN9,TPC13_HUMAN,TRAPPC13,Trafficking protein particle complex subunit 13,2,2,6946.67,,11838.8
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,27,27,107658,103041,100004
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,1,0,93584.5,49487.7,45930.3
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,7,7,94697.9,110188,83009
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,4,4,49867.5,53884.9,56044.6
A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,2,2,19593.7,34475.8,26474.4
