Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,HYEA_rep111,HYEA_rep112,HYEA_rep113,HYEA_rep114
A0A024R1R8;Q9Y2S6,TMA7B_HUMAN;TMA7_HUMAN,TMA7;TMA7B,Translation machinery-associated protein 7B,1,0,439060,474540,377494,325221
A0A075B6W5,TVA23_HUMAN,TRAV23DV6,T cell receptor alpha variable 23/delta variable 6,1,1,,183603,,
A0A0B4J2F0,PIOS1_HUMAN,PIGBOS1,Protein PIGBOS1,1,1,88513.6,85505.4,90085,96767.4
A0A3B3IU46;Q9BTL3,RAMAC_HUMAN;RMACL_HUMAN,RAMAC;RAMACL,RNA guanine-N7 methyltransferase-activating subunit-like protein,1,0,25909.1,31534,32982.8,27467.8
A0A8I5KQE6;P08865,RPSA2_HUMAN;RSSA_HUMAN,RPSA;RPSA2,Small ribosomal subunit protein uS2B,5,0,2.81E+06,2.88E+06,2.69E+06,3.09E+06
A0AV96,RBM47_HUMAN,RBM47,RNA-binding protein 47,3,3,3460.77,5969.91,5028.29,3035.02
A0AVT1,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,14,14,80764.7,95739,94558.1,93944.2
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,5,5,101723,97650.7,88844,91655.2
A0MZ66,SHOT1_HUMAN,SHTN1,Shootin-1,12,12,43280.6,49412.8,59206.7,45618.9
A0PJW6,TM223_HUMAN,TMEM223,Transmembrane protein 223,2,2,,,,
A1A4S6,RHG10_HUMAN,ARHGAP10,Rho GTPase-activating protein 10,1,1,,,,
A1L0T0,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,3,3,25776.9,38664,14957.3,27425.2
A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,1,1,,,,
A2RRP1,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,6,6,,3107.96,2557.86,
A2RUC4,TYW5_HUMAN,TYW5,tRNA wybutosine-synthesizing protein 5,1,1,,,,
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,11,11,33714.9,47181.1,48713.8,48421.3
A3KN83,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,3,2,3647.36,,2021.58,1609.3
A4D1E9,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,5,5,,34736.5,28558.7,28262.2
A4D1P6,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,2,2,,,2843.87,
A4FU01,MTMRB_HUMAN,MTMR11,Myotubularin-related protein 11,1,1,106590,,,
A5YKK6,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,22,22,92501.6,112506,107950,96877.3
A6NCE7;Q9GZQ8,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,1,0,,,,
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,5,5,72979,107642,74638.7,77247.1
A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,2,2,5661.41,,7084.95,6179.78
A6NED2,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,2,2,12454.7,9510.4,7160.69,9638.2
A6NHG4;P30046,DDTL_HUMAN;DOPD_HUMAN,DDT;DDTL,D-dopachrome decarboxylase-like protein,1,0,170136,297668,252588,
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,18,18,43996,53376.7,55411.1,48448.1
A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,3,3,13339.3,9526.17,13357.2,10136.3
A6NKB5,PCX2_HUMAN,PCNX2,Pecanex-like protein 2,1,1,160221,61785.7,169575,118807
A6NKF1,SAC31_HUMAN,SAC3D1,SAC3 domain-containing protein 1,2,2,14311.7,18254,,24460.2
